name,description,total cost,quantity,link,distributor
screen,screen for the nvr,68.19,1,enlace de compra,aliexpress
1kg petg,Filamento para carcasa,14.76,1,enlace de compra,digitalz3d
raspberry pi 4,computer,154.38,1,enlace de compra,aliexpress
memory 1tb,for the videos,127.58,1,enlace de compra,aliexpress
switch poe,for the cameras,30.99,1,enlace de compra,aliexpress
case for the raspberry,for the raspberry,15.75,1,enlace de compra,aliexpress
